"Story","Title","Result","Date","Stability","Duration (s)"
"Crear cuenta de usuario","Crear administrador exitoso","SUCCESS","2023-04-26T16:51:46.174-05:00[America/Bogota]","0.0","0.78"
"Crear cuenta de usuario","Crear aprendiz exitoso","SUCCESS","2023-04-26T16:51:46.988-05:00[America/Bogota]","0.0","0.72"
"Crear cuenta de usuario","Envio de datos para la creacion de usuario administrador vacios","SUCCESS","2023-04-26T16:51:47.743-05:00[America/Bogota]","0.0","2.26"
"Crear cuenta de usuario","Envio de datos para la creacion de usuario aprendiz vacios","SUCCESS","2023-04-26T16:51:50.041-05:00[America/Bogota]","0.0","2.26"
"Crear cuenta de usuario","Creacion usuarios admin con caracteres especiales y numericos en el nombre","SUCCESS","2023-04-26T16:51:52.337-05:00[America/Bogota]","0.0","3.76"
"Crear cuenta de usuario","Creacion usuarios aprendiz con caracteres especiales y numericos en el nombre","SUCCESS","2023-04-26T16:51:56.131-05:00[America/Bogota]","0.0","3.91"
"Crear cuenta de usuario","Crear administrador existente","SUCCESS","2023-04-26T16:52:00.085-05:00[America/Bogota]","0.0","0.74"
"Crear cuenta de usuario","Crear aprendiz existente","SUCCESS","2023-04-26T16:52:00.87-05:00[America/Bogota]","0.0","0.79"
"Crear cuenta de usuario","Crear administrador con correo de un aprendiz","SUCCESS","2023-04-26T16:52:01.694-05:00[America/Bogota]","0.0","0.77"
"Crear cuenta de usuario","Crear aprendiz con correo de un administrador","SUCCESS","2023-04-26T16:52:02.504-05:00[America/Bogota]","0.0","0.71"
"Crear cuenta de usuario","Crear admin con un correo invalido","SUCCESS","2023-04-26T16:52:03.244-05:00[America/Bogota]","0.0","0.77"
"Crear cuenta de usuario","Crear aprendiz con un correo invalido","SUCCESS","2023-04-26T16:52:04.061-05:00[America/Bogota]","0.0","0.72"
